automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
game-of-life,CPU,,,,baseline,2048,2048,30,5,2,0,0,32,8,42,0,124.744954,29.741515,0.907039,true,33410-33943-33901-33438-33549-33789-33012-33594-33912-32739-33506-32676-33513-33186-33593-33625
game-of-life,CPU,simple,standard,standard,,2048,2048,30,5,2,0,0,32,8,42,0,80.410977,19.171471,4.406421,true,33410-33943-33901-33438-33549-33789-33012-33594-33912-32739-33506-32676-33513-33186-33593-33625
game-of-life,CUDA,,,,baseline,8192,8192,1000,5,2,0,0,32,4,42,0,365.072046,5.439997,0.013607,true,179061-185091-184032-178609-181697-183616-182692-180707-179415-181594-183739-183446-179733-183049-178882-179967
game-of-life,CUDA,simple,standard,standard,,8192,8192,1000,5,2,0,0,32,4,42,0,364.688004,5.434275,0.014308,true,179061-185091-184032-178609-181697-183616-182692-180707-179415-181594-183739-183446-179733-183049-178882-179967
forest-fire,CPU,,,,baseline,2048,2048,30,5,2,0,0,32,8,42,0,213.956350,51.011169,0.270072,true,453-467-452-443-435-381-358-433-426-424-429-515-475-468-457-432
forest-fire,CPU,simple,standard,standard,,2048,2048,30,5,2,0,0,32,8,42,0,199.557584,47.578236,0.039661,true,453-467-452-443-435-381-358-433-426-424-429-515-475-468-457-432
forest-fire,CUDA,,,,baseline,8192,8192,1000,5,2,0,0,32,4,42,0,350.350000,5.220622,0.024341,true,6758-6826-6878-6792-6844-6616-6669-6853-6738-6793-6646-6679-6945-6642-6809-6947
forest-fire,CUDA,simple,standard,standard,,8192,8192,1000,5,2,0,0,32,4,42,0,352.052123,5.245985,0.033742,true,6758-6826-6878-6792-6844-6616-6669-6853-6738-6793-6646-6679-6945-6642-6809-6947
wire,CPU,,,,baseline,2048,2048,30,5,2,0,0,32,8,42,0,120.862626,28.815896,0.035344,true,216-0-51-90-237756-335661-334974-238540-237909-335150-335313-238866-51-75-51-51
wire,CPU,simple,standard,standard,,2048,2048,30,5,2,0,0,32,8,42,0,147.503642,35.167609,2.698505,true,216-0-51-90-237756-335661-334974-238540-237909-335150-335313-238866-51-75-51-51
wire,CUDA,,,,baseline,8192,8192,1000,5,2,0,0,32,4,42,0,361.305421,5.383870,0.016829,true,216-0-51-90-3821604-5396911-5382054-3835129-3802833-5363634-5403449-3817963-32-75-51-34
wire,CUDA,simple,standard,standard,,8192,8192,1000,5,2,0,0,32,4,42,0,360.417853,5.370645,0.023335,true,216-0-51-90-3821604-5396911-5382054-3835129-3802833-5363634-5403449-3817963-32-75-51-34
greenberg-hastings,CPU,,,,baseline,2048,2048,30,5,2,0,0,32,8,42,0,392.476010,93.573573,0.130077,true,232988-261514-213517-243790-234336-246595-246183-228960-263288-186805-233788-249959-212932-202539-303319-236315
greenberg-hastings,CPU,simple,standard,standard,,2048,2048,30,5,2,0,0,32,8,42,0,273.825449,65.285074,0.201859,true,232988-261514-213517-243790-234336-246595-246183-228960-263288-186805-233788-249959-212932-202539-303319-236315
greenberg-hastings,CUDA,,,,baseline,8192,8192,1000,5,2,0,0,32,4,42,0,408.702430,6.090141,0.014946,true,14696001-14701318-14694979-14698925-14710690-14690961-14704794-14690019-14703995-14709086-14697158-14698878-14702786-14702648-14688024-14701846
greenberg-hastings,CUDA,simple,standard,standard,,8192,8192,1000,5,2,0,0,32,4,42,0,477.827720,7.120188,0.007758,true,14696001-14701318-14694979-14698925-14710690-14690961-14704794-14690019-14703995-14709086-14697158-14698878-14702786-14702648-14688024-14701846
