automaton,device,traverser,evaluator,layout,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
game-of-life,CPU,simple,standard,standard,6720,6720,16,2,0,0,0,42,0,4432.208333,98.148037,2.323184,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CPU,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,32,4286.324496,94.917546,0.030281,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CPU,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,32,23.478289,0.519910,0.042520,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,simple,standard,standard,6720,6720,16,2,0,0,0,42,0,10.029936,0.222106,1.328321,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,1,42,0,9.129822,0.202173,0.426433,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,2,42,0,9.130233,0.202182,0.431151,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,4,42,0,9.143704,0.202481,0.435638,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,32,6.381312,0.141310,2.231530,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,64,13.925828,0.308377,1.521840,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,32,0.533371,0.011811,0.380439,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,64,0.525659,0.011640,0.391615,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
forest-fire,CPU,simple,standard,standard,6720,6720,16,2,0,0,0,42,0,2032.032410,44.997883,9.328329,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CPU,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,32,2230.247045,49.387202,0.436323,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CPU,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,32,125.552475,2.780268,10.154837,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,simple,standard,standard,6720,6720,16,2,0,0,0,42,0,9.005364,0.199417,0.399362,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,1,42,0,9.040933,0.200205,0.428911,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,2,42,0,9.049231,0.200389,0.427044,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,4,42,0,9.044043,0.200274,0.438231,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,32,4.060718,0.089922,1.476513,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,64,6.991910,0.154831,1.525958,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,32,0.604599,0.013388,0.373968,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,64,0.574163,0.012714,0.376401,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
wire,CPU,simple,standard,standard,6720,6720,16,2,0,0,0,42,0,754.130715,16.699677,0.012935,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CPU,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,32,1503.643146,33.297086,0.318924,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CPU,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,32,638.329583,14.135345,0.021778,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,standard,standard,6720,6720,16,2,0,0,0,42,0,9.078420,0.201035,0.392426,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,1,42,0,9.137991,0.202354,0.441461,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,2,42,0,9.128918,0.202153,0.421770,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,4,42,0,9.122692,0.202015,0.437981,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,32,4.478613,0.099176,1.499428,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,64,5.270265,0.116706,1.506028,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,32,0.608254,0.013469,0.376192,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,64,0.577672,0.012792,0.377899,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
greenberg-hastings,CPU,simple,standard,standard,6720,6720,16,2,0,0,0,42,0,1899.591819,42.065082,12.753677,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CPU,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,32,5025.763688,111.291890,0.486714,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CPU,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,32,792.673256,17.553174,1.506258,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,standard,standard,6720,6720,16,2,0,0,0,42,0,9.388486,0.207901,0.776915,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,1,42,0,8.993737,0.199160,0.393583,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,2,42,0,9.060178,0.200631,0.456218,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,spacial_blocking,standard,standard,6720,6720,16,2,0,1,4,42,0,9.012065,0.199566,0.401074,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,32,7.337075,0.162474,1.975190,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,bit_array,bit_array,6720,6720,16,2,0,0,0,42,64,8.022476,0.177652,1.521101,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,32,0.695146,0.015394,0.378815,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,bit_plates,bit_plates,6720,6720,16,2,0,0,0,42,64,0.646832,0.014324,0.379967,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
