automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
game-of-life,CPU,,,,baseline,6720,6720,16,2,0,0,0,16,16,42,32,1297.889480,28.740821,4.841300,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,,,,baseline,6720,6720,16,2,0,0,0,16,16,42,32,8.005451,0.177275,0.747466,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CPU,simple,standard,standard,,6720,6720,16,2,0,0,0,16,16,42,0,4418.417804,97.842656,0.244337,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CPU,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,32,4359.897861,96.546774,0.485022,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CPU,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,32,23.505609,0.520515,0.031248,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,simple,standard,standard,,6720,6720,16,2,0,0,0,16,16,42,0,8.276639,0.183280,0.867853,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,1,16,16,42,0,8.175916,0.181050,0.747280,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,2,16,16,42,0,7.793750,0.172587,0.357633,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,4,16,16,42,0,7.821742,0.173207,0.415441,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
game-of-life,CUDA,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,32,6.324949,0.140061,2.171519,true,414867-416697-418895-415988-414988-417967-415214-418128-417495-414152-416593-415060-412901-416438-415821-415501
