automaton,device,traverser,evaluator,layout,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
game-of-life,CUDA,simple,standard,standard,6720,6720,200,10,5,0,0,42,0,109.172798,2.417552,0.056919,true,207359-204547-208093-201442-205551-204682-204486-205806-202259-205970-205946-210285-202288-202083-209638-207569
game-of-life,CUDA,simple,standard,standard,13440,13440,200,10,5,0,0,42,0,437.690697,2.423086,0.176320,true,822320-819289-814071-821173-821263-825408-816626-817941-820521-819648-831189-823019-818051-814440-819776-821534
game-of-life,CUDA,simple,standard,standard,20160,20160,200,10,5,0,0,42,0,984.207299,2.421617,0.162337,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
game-of-life,CUDA,spacial_blocking,standard,standard,6720,6720,200,10,5,1,1,42,0,109.148147,2.417007,0.031404,true,207359-204547-208093-201442-205551-204682-204486-205806-202259-205970-205946-210285-202288-202083-209638-207569
game-of-life,CUDA,spacial_blocking,standard,standard,13440,13440,200,10,5,1,1,42,0,437.677762,2.423014,0.214769,true,822320-819289-814071-821173-821263-825408-816626-817941-820521-819648-831189-823019-818051-814440-819776-821534
game-of-life,CUDA,spacial_blocking,standard,standard,20160,20160,200,10,5,1,1,42,0,984.086105,2.421319,0.189300,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
game-of-life,CUDA,spacial_blocking,standard,standard,6720,6720,200,10,5,1,2,42,0,109.162529,2.417325,0.043310,true,207359-204547-208093-201442-205551-204682-204486-205806-202259-205970-205946-210285-202288-202083-209638-207569
game-of-life,CUDA,spacial_blocking,standard,standard,13440,13440,200,10,5,1,2,42,0,437.674355,2.422995,0.147924,true,822320-819289-814071-821173-821263-825408-816626-817941-820521-819648-831189-823019-818051-814440-819776-821534
game-of-life,CUDA,spacial_blocking,standard,standard,20160,20160,200,10,5,1,2,42,0,984.150114,2.421477,0.291492,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
game-of-life,CUDA,spacial_blocking,standard,standard,6720,6720,200,10,5,1,4,42,0,109.171231,2.417518,0.066554,true,207359-204547-208093-201442-205551-204682-204486-205806-202259-205970-205946-210285-202288-202083-209638-207569
game-of-life,CUDA,spacial_blocking,standard,standard,13440,13440,200,10,5,1,4,42,0,437.704484,2.423162,0.250186,true,822320-819289-814071-821173-821263-825408-816626-817941-820521-819648-831189-823019-818051-814440-819776-821534
game-of-life,CUDA,spacial_blocking,standard,standard,20160,20160,200,10,5,1,4,42,0,984.087575,2.421323,0.152592,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
game-of-life,CUDA,simple,bit_array,bit_array,6720,6720,200,10,5,0,0,42,32,49.962142,1.106375,0.003225,true,207359-204547-208093-201442-205551-204682-204486-205806-202259-205970-205946-210285-202288-202083-209638-207569
game-of-life,CUDA,simple,bit_array,bit_array,13440,13440,200,10,5,0,0,42,32,173.763073,0.961964,0.005425,true,822320-819289-814071-821173-821263-825408-816626-817941-820521-819648-831189-823019-818051-814440-819776-821534
game-of-life,CUDA,simple,bit_array,bit_array,20160,20160,200,10,5,0,0,42,32,463.295583,1.139927,0.007556,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
game-of-life,CUDA,simple,bit_array,bit_array,6720,6720,200,10,5,0,0,42,64,153.095732,3.390194,0.005390,true,207359-204547-208093-201442-205551-204682-204486-205806-202259-205970-205946-210285-202288-202083-209638-207569
game-of-life,CUDA,simple,bit_array,bit_array,13440,13440,200,10,5,0,0,42,64,302.592593,1.675173,0.009575,true,822320-819289-814071-821173-821263-825408-816626-817941-820521-819648-831189-823019-818051-814440-819776-821534
game-of-life,CUDA,simple,bit_array,bit_array,20160,20160,200,10,5,0,0,42,64,465.405924,1.145120,0.367934,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
game-of-life,CUDA,simple,bit_planes,bit_planes,6720,6720,200,10,5,0,0,42,32,1.398060,0.030959,0.000758,true,207359-204547-208093-201442-205551-204682-204486-205806-202259-205970-205946-210285-202288-202083-209638-207569
